Иванова,ARCHITECT,JUNIOR,FEMALE,40,458.96848218184704
Смирнов,BUSINESS_ANALYTIC,REGULAR,MALE,46,852.4655678597212
Кузнецов,SYSTEM_ANALYTIC,REGULAR,MALE,34,617.4382848334146
Попова,SOFTWARE_DEVELOPER,SENIOR,FEMALE,33,281.9180906805151
Васильева,BUSINESS_ANALYTIC,SENIOR,FEMALE,25,406.6853321596897
Петрова,SYSTEM_ANALYTIC,SENIOR,FEMALE,25,22.640086163179475
Соколов,SOFTWARE_DEVELOPER,REGULAR,MALE,44,961.0889571794396
Михайлова,SYSTEM_ANALYTIC,JUNIOR,FEMALE,61,997.1211953878646
Новикова,SYSTEM_ANALYTIC,JUNIOR,FEMALE,22,635.628618297697
Федорова,BUSINESS_ANALYTIC,LEAD,FEMALE,28,354.04589060183446
Морозова,BUSINESS_ANALYTIC,LEAD,FEMALE,51,323.2076868686535
Волкова,ARCHITECT,JUNIOR,FEMALE,50,956.2037220765204
Алексеева,ARCHITECT,REGULAR,FEMALE,42,123.30123737337296
Лебедев,SOFTWARE_DEVELOPER,SENIOR,MALE,41,898.1147087450013
Семенов,SOFTWARE_DEVELOPER,SENIOR,MALE,63,48.44185973224868
Егорова,BUSINESS_ANALYTIC,JUNIOR,FEMALE,60,220.9190246572389
Павлова,BUSINESS_ANALYTIC,SENIOR,FEMALE,36,55.69323390054359
Козлова,SOFTWARE_DEVELOPER,SENIOR,FEMALE,58,831.8822504547072
Степанова,BUSINESS_ANALYTIC,JUNIOR,FEMALE,45,467.71530381165496
Николаев,TESTER,LEAD,MALE,44,418.6012822916099
Орлов,ARCHITECT,SENIOR,MALE,46,275.93156112211835
Андреев,SYSTEM_ANALYTIC,SENIOR,MALE,43,261.35724605486996
Макаров,SOFTWARE_DEVELOPER,REGULAR,MALE,35,510.92358945217586
Никитина,SOFTWARE_DEVELOPER,JUNIOR,FEMALE,54,944.3711032933968
Захаров,ARCHITECT,JUNIOR,MALE,55,827.3864350195939
Зайцев,SOFTWARE_DEVELOPER,SENIOR,MALE,53,216.91950392541227
Соловьев,ARCHITECT,SENIOR,MALE,50,328.2861647795472
Борисова,ARCHITECT,JUNIOR,FEMALE,47,592.9343496298303
Яковлева,ARCHITECT,SENIOR,FEMALE,33,981.4015113359815
Григорьева,SOFTWARE_DEVELOPER,REGULAR,FEMALE,29,653.0333936969571
Романова,SYSTEM_ANALYTIC,JUNIOR,FEMALE,49,437.96337631297945
Воробьев,SYSTEM_ANALYTIC,SENIOR,MALE,48,641.732999808979
Сергеев,SOFTWARE_DEVELOPER,JUNIOR,MALE,54,715.0106694523466
Кузьмина,BUSINESS_ANALYTIC,LEAD,FEMALE,20,566.3208752489379
Фролова,BUSINESS_ANALYTIC,JUNIOR,FEMALE,50,758.3677673748125
Александров,SYSTEM_ANALYTIC,LEAD,MALE,24,99.59002271491724
Дмитриева,TESTER,JUNIOR,FEMALE,58,960.4490129730762
Королева,BUSINESS_ANALYTIC,LEAD,FEMALE,59,679.0460032017107
Гусева,TESTER,LEAD,FEMALE,33,5.668656206503031
Киселев,TESTER,SENIOR,MALE,38,58.6228816915404
Ильина,SYSTEM_ANALYTIC,LEAD,FEMALE,49,85.9614490902102
Максимова,SYSTEM_ANALYTIC,REGULAR,FEMALE,29,499.3209799601536
Полякова,BUSINESS_ANALYTIC,JUNIOR,FEMALE,55,340.309672711589
Сорокин,SYSTEM_ANALYTIC,REGULAR,MALE,32,842.0830527273253
Виноградов,ARCHITECT,JUNIOR,MALE,60,986.35708417219
Ковалев,BUSINESS_ANALYTIC,LEAD,MALE,21,964.8511006182201
Белов,BUSINESS_ANALYTIC,SENIOR,MALE,31,830.929172501252
Медведева,SYSTEM_ANALYTIC,JUNIOR,FEMALE,59,926.9120315733243
Антонов,SOFTWARE_DEVELOPER,REGULAR,MALE,53,861.9536385104719
Тарасова,SOFTWARE_DEVELOPER,LEAD,FEMALE,31,303.7941779149701
Жукова,SOFTWARE_DEVELOPER,JUNIOR,FEMALE,38,269.8935772426723
Баранова,ARCHITECT,LEAD,FEMALE,37,437.1867534597801
Филиппов,SOFTWARE_DEVELOPER,LEAD,MALE,23,246.00051615424823
Комарова,SOFTWARE_DEVELOPER,LEAD,FEMALE,22,204.31764561732624
Давыдов,BUSINESS_ANALYTIC,SENIOR,MALE,61,121.72453076840573
Беляева,SOFTWARE_DEVELOPER,JUNIOR,FEMALE,45,353.26034785580373
Герасимова,SOFTWARE_DEVELOPER,LEAD,FEMALE,25,103.36535942563852
Богданов,SYSTEM_ANALYTIC,SENIOR,MALE,47,873.694497669829
Осипова,SOFTWARE_DEVELOPER,SENIOR,FEMALE,58,914.0201056246566
Сидорова,SOFTWARE_DEVELOPER,REGULAR,FEMALE,63,461.2871182963277
Матвеева,BUSINESS_ANALYTIC,LEAD,FEMALE,21,867.2135043727399
Титов,BUSINESS_ANALYTIC,REGULAR,MALE,42,88.28675333661296
Маркова,ARCHITECT,REGULAR,FEMALE,23,190.0418104032221
Миронов,SOFTWARE_DEVELOPER,LEAD,MALE,29,478.95305214035335
Крылова,BUSINESS_ANALYTIC,SENIOR,FEMALE,59,105.60577292271955
